card1,card2,similarity_score,is_substitute,source,similarity_type,confidence,timestamp
12/6,DeRezzd,0.5,False,llm_generated,,0.7,
DeRezzd,Main Phase One,0.5,False,llm_generated,,0.7,
Main Phase One,Summoner Skirmish,0.5,False,llm_generated,,0.7,
Card_10000080,Card_10019086,0.5,False,llm_generated,,0.7,
Card_12014404,Card_12058741,0.5,False,llm_generated,,0.7,
Card_13332685,Card_13455674,0.5,False,llm_generated,,0.7,
Card_15693423,Card_15848542,0.5,False,llm_generated,,0.7,
Card_17955766,Card_17968114,0.5,False,llm_generated,,0.7,
Card_19652159,Card_1966438,0.5,False,llm_generated,,0.7,
Card_21565445,Card_21848500,0.5,False,llm_generated,,0.7,
Card_2347656,Card_23545031,0.5,False,llm_generated,,0.7,
Card_24361622,Card_24440742,0.5,False,llm_generated,,0.7,
Card_25801745,Card_25865565,0.5,False,llm_generated,,0.7,
Card_27420823,Card_27480536,0.5,False,llm_generated,,0.7,
Card_29301450,Card_29479265,0.5,False,llm_generated,,0.7,
Card_31552317,Card_31588572,0.5,False,llm_generated,,0.7,
Card_32991300,Card_33113958,0.5,False,llm_generated,,0.7,
Card_34541543,Card_34755994,0.5,False,llm_generated,,0.7,
Card_35614780,Card_35726888,0.5,False,llm_generated,,0.7,
Card_37495766,Card_37582948,0.5,False,llm_generated,,0.7,
Card_38811586,Card_38814750,0.5,False,llm_generated,,0.7,
Card_40543231,Card_4055337,0.5,False,llm_generated,,0.7,
Card_41924516,Card_41927278,0.5,False,llm_generated,,0.7,
Card_44362883,Card_44394295,0.5,False,llm_generated,,0.7,
Card_45852939,Card_45883110,0.5,False,llm_generated,,0.7,
Card_47759571,Card_4779091,0.5,False,llm_generated,,0.7,
Card_4904812,Card_49238328,0.5,False,llm_generated,,0.7,
Card_51409648,Card_51473858,0.5,False,llm_generated,,0.7,
Card_53334471,Card_53417695,0.5,False,llm_generated,,0.7,
Card_54693926,Card_54757758,0.5,False,llm_generated,,0.7,
Card_572850,Card_57416183,0.5,False,llm_generated,,0.7,
Card_59323650,Card_59388357,0.5,False,llm_generated,,0.7,
Card_60517697,Card_60643553,0.5,False,llm_generated,,0.7,
Card_62383431,Card_62405028,0.5,False,llm_generated,,0.7,
Card_64182380,Card_64257161,0.5,False,llm_generated,,0.7,
Card_65741786,Card_65741787,0.5,False,llm_generated,,0.7,
Card_67680512,Card_6798031,0.5,False,llm_generated,,0.7,
Card_69299029,Card_69385019,0.5,False,llm_generated,,0.7,
Card_706925,Card_70871153,0.5,False,llm_generated,,0.7,
Card_72932673,Card_73082255,0.5,False,llm_generated,,0.7,
Card_73898890,Card_73956664,0.5,False,llm_generated,,0.7,
Card_74997493,Card_75003700,0.5,False,llm_generated,,0.7,
Card_7811875,Card_78144171,0.5,False,llm_generated,,0.7,
Card_79130389,Card_79415624,0.5,False,llm_generated,,0.7,
Card_80666118,Card_80696379,0.5,False,llm_generated,,0.7,
Card_8165596,Card_81677154,0.5,False,llm_generated,,0.7,
Card_83326048,Card_83443619,0.5,False,llm_generated,,0.7,
Card_85692042,Card_8576764,0.5,False,llm_generated,,0.7,
Card_88284599,Card_88305705,0.5,False,llm_generated,,0.7,
Card_90448279,Card_90590304,0.5,False,llm_generated,,0.7,
Card_92428405,Card_92512625,0.5,False,llm_generated,,0.7,
Card_93830681,Card_93854893,0.5,False,llm_generated,,0.7,
Card_94977270,Card_95454996,0.5,False,llm_generated,,0.7,
Lightning Bolt,Fireball,0.95,True,user_feedback,functional,,
Sol Ring,Command Tower,0.95,True,user_feedback,functional,,
Lightning Bolt,Black Knight,0.35,False,user_feedback,synergy,,
Lightning Bolt,Shock,0.75,False,user_feedback,functional,,
Lightning Bolt,Goblin Tomb Raider,0.55,False,llm_judgment,synergy,,
Lightning Bolt,Gingerbrute,0.55,False,llm_judgment,synergy,,
Lightning Bolt,Great Furnace,0.55,False,llm_judgment,synergy,,
Lightning Bolt,Voldaren Epicure,0.55,False,llm_judgment,synergy,,
Lightning Bolt,Chain Lightning,0.55,False,llm_judgment,synergy,,
Lightning Bolt,Burning-Tree Emissary,0.55,False,llm_judgment,synergy,,
Lightning Bolt,Fireblast,0.55,False,llm_judgment,synergy,,
Lightning Bolt,Guttersnipe,0.55,False,llm_judgment,synergy,,
Lightning Bolt,Rally at the Hornburg,0.55,False,llm_judgment,synergy,,
Lightning Bolt,Kessig Flamebreather,0.55,False,llm_judgment,synergy,,
